name,release_date,total_tracks,artists,id,name,duration_ms,explicit,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature
,,,,2YkP9pfIZ6hJKeuppuz8qT,Yade Lauren,,,,,,,,,,,,,,,,,,,,,
Doo-Wops & Hooligans,2010-10-05,12,,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,189109,false,386RUes7n1uM1yfzgeUuwp,The Lazy Song,80,0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,audio_features,spotify:track:386RUes7n1uM1yfzgeUuwp,https://api.spotify.com/v1/tracks/386RUes7n1uM1yfzgeUuwp,https://api.spotify.com/v1/audio-analysis/386RUes7n1uM1yfzgeUuwp,4
+,2011-09-09,16,,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,200093,false,4RnCPWlBsY7oUDdyruod7Y,Drunk,69,0.733,0.652,7,-9.101,1,0.0696,0.419,0.00000237,0.521,0.459,99.998,audio_features,spotify:track:4RnCPWlBsY7oUDdyruod7Y,https://api.spotify.com/v1/tracks/4RnCPWlBsY7oUDdyruod7Y,https://api.spotify.com/v1/audio-analysis/4RnCPWlBsY7oUDdyruod7Y,4
People Keep Talking,2014-10-14,14,,382aq8Pij5V2nE2JMHMoxl,Hoodie Allen,205733,true,2rvHIXjN4TCFuFLZk3qAxn,All About It (feat. Ed Sheeran),45,0.738,0.87,1,-5.343,0,0.0844,0.0124,0,0.14,0.845,89.988,audio_features,spotify:track:2rvHIXjN4TCFuFLZk3qAxn,https://api.spotify.com/v1/tracks/2rvHIXjN4TCFuFLZk3qAxn,https://api.spotify.com/v1/audio-analysis/2rvHIXjN4TCFuFLZk3qAxn,4
,,,,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,,,,,,,,,,,,,,,,,,,,,
FutureSex/LoveSounds,2006-09-12,13,,31TPClRtHm23RisEBtV3X7,Justin Timberlake,276160,false,13X42np3KJr0o2LkK1MG76,My Love,0,0.771,0.676,4,-6.018,0,0.223,0.285,0.00000449,0.546,0.804,119.997,audio_features,spotify:track:13X42np3KJr0o2LkK1MG76,https://api.spotify.com/v1/tracks/13X42np3KJr0o2LkK1MG76,https://api.spotify.com/v1/audio-analysis/13X42np3KJr0o2LkK1MG76,4
,,,,4OBJLual30L7gRl5UkeRcT,T.I.,,,,,,,,,,,,,,,,,,,,,
Send It (feat. Rich Homie Quan),2016-08-19,1,,04abdnqPQe2N4fjztDea6z,Austin Mahone,181003,false,1dytORtqcfaRkTqPyH2iQy,Send It (feat. Rich Homie Quan),61,0.737,0.585,5,-6.252,1,0.0975,0.186,0,0.115,0.693,147.064,audio_features,spotify:track:1dytORtqcfaRkTqPyH2iQy,https://api.spotify.com/v1/tracks/1dytORtqcfaRkTqPyH2iQy,https://api.spotify.com/v1/audio-analysis/1dytORtqcfaRkTqPyH2iQy,4
,,,,5lHRUCqkQZCIWeX7xG4sYT,Rich Homie Quan,,,,,,,,,,,,,,,,,,,,,
V (Deluxe),2014-09-02,14,,04gDigrS5kc9YWfZHwBETP,Maroon 5,235493,true,5eWgDlp3k6Tb5RD8690s6I,Sugar,0,0.744,0.783,1,-7.077,1,0.0337,0.0553,0,0.086,0.885,120.042,audio_features,spotify:track:5eWgDlp3k6Tb5RD8690s6I,https://api.spotify.com/v1/tracks/5eWgDlp3k6Tb5RD8690s6I,https://api.spotify.com/v1/audio-analysis/5eWgDlp3k6Tb5RD8690s6I,4
Body Like A Back Road,2017-02-01,1,,2kucQ9jQwuD8jWdtR9Ef38,Sam Hunt,165387,false,1W0z9ZFfzkpvAQ23Sd7Cti,Body Like A Back Road,0,0.731,0.466,5,-7.219,1,0.0327,0.484,0.00000142,0.105,0.653,98.959,audio_features,spotify:track:1W0z9ZFfzkpvAQ23Sd7Cti,https://api.spotify.com/v1/tracks/1W0z9ZFfzkpvAQ23Sd7Cti,https://api.spotify.com/v1/audio-analysis/1W0z9ZFfzkpvAQ23Sd7Cti,4
Red,2012-10-22,22,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,219720,false,6RjKVXi31fui9m4dbiGRrL,I Knew You Were Trouble,0,0.499,0.467,6,-6.744,1,0.0461,0.00593,0.00000165,0.0361,0.637,76.76,audio_features,spotify:track:6RjKVXi31fui9m4dbiGRrL,https://api.spotify.com/v1/tracks/6RjKVXi31fui9m4dbiGRrL,https://api.spotify.com/v1/audio-analysis/6RjKVXi31fui9m4dbiGRrL,4
Illuminate (Deluxe),2017-04-20,16,,7n2wHs1TKAczGzO7Dd2rGr,Shawn Mendes,199440,false,79cuOz3SPQTuFrp8WgftAu,There's Nothing Holdin' Me Back,1,0.857,0.8,2,-4.035,1,0.0583,0.381,0,0.0913,0.966,121.996,audio_features,spotify:track:79cuOz3SPQTuFrp8WgftAu,https://api.spotify.com/v1/tracks/79cuOz3SPQTuFrp8WgftAu,https://api.spotify.com/v1/audio-analysis/79cuOz3SPQTuFrp8WgftAu,4
souljaboytellem.com,2007-01-01,14,,6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,221933,false,66TRwr5uJwPt15mfFkzhbi,Crank That (Soulja Boy),80,0.736,0.74,0,-2.18,1,0.0786,0.515,0,0.0468,0.803,140.141,audio_features,spotify:track:66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/tracks/66TRwr5uJwPt15mfFkzhbi,https://api.spotify.com/v1/audio-analysis/66TRwr5uJwPt15mfFkzhbi,4
Strip That Down,2017-05-18,1,,5pUo3fmmHT8bhCyHE52hA6,Liam Payne,204502,false,4Ro98RCK90oHqqSZUnTFq5,Strip That Down,72,0.874,0.497,6,-5.484,1,0.0562,0.22,0,0.0761,0.542,106.023,audio_features,spotify:track:4Ro98RCK90oHqqSZUnTFq5,https://api.spotify.com/v1/tracks/4Ro98RCK90oHqqSZUnTFq5,https://api.spotify.com/v1/audio-analysis/4Ro98RCK90oHqqSZUnTFq5,4
,,,,0VRj0yCOv2FXJNP47XQnx5,Quavo,,,,,,,,,,,,,,,,,,,,,
Revival,2017-12-15,19,,7dGJo4pcD2V6oG8kP0tJRR,Eminem,221013,true,5UEnHoDYpsxlfzWLZIc7LD,River (feat. Ed Sheeran),1,0.757,0.748,8,-5.794,0,0.473,0.17,0,0.0759,0.693,90.052,audio_features,spotify:track:5UEnHoDYpsxlfzWLZIc7LD,https://api.spotify.com/v1/tracks/5UEnHoDYpsxlfzWLZIc7LD,https://api.spotify.com/v1/audio-analysis/5UEnHoDYpsxlfzWLZIc7LD,4
,,,,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,,,,,,,,,,,,,,,,,,,,,
Pocket Full Of Kryptonite,1991-08-27,10,,2PSiyldxmJze7xiqbz658m,Spin Doctors,256733,false,4ePP9So5xRzspjLFVVbj90,Two Princes,75,0.543,0.912,7,-10.71,1,0.0601,0.00162,0.0000021,0.0565,0.836,103.731,audio_features,spotify:track:4ePP9So5xRzspjLFVVbj90,https://api.spotify.com/v1/tracks/4ePP9So5xRzspjLFVVbj90,https://api.spotify.com/v1/audio-analysis/4ePP9So5xRzspjLFVVbj90,4
Whatever,2011-11-25,11,,6jTnHxhb6cDCaCu4rdvsQ0,Hot Chelle Rae,200467,false,2i0AUcEnsDm3dsqLrFWUCq,Tonight Tonight,78,0.686,0.783,4,-4.977,1,0.119,0.0764,0,0.163,0.814,99.978,audio_features,spotify:track:2i0AUcEnsDm3dsqLrFWUCq,https://api.spotify.com/v1/tracks/2i0AUcEnsDm3dsqLrFWUCq,https://api.spotify.com/v1/audio-analysis/2i0AUcEnsDm3dsqLrFWUCq,4
Drops Of Jupiter,2001-03-27,11,,3FUY2gzHeIiaesXtOAdB7A,Train,259933,false,2hKdd3qO7cWr2Jo0Bcs0MA,Drops of Jupiter (Tell Me),82,0.481,0.638,0,-5.862,1,0.0276,0.153,0,0.154,0.497,79.064,audio_features,spotify:track:2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/tracks/2hKdd3qO7cWr2Jo0Bcs0MA,https://api.spotify.com/v1/audio-analysis/2hKdd3qO7cWr2Jo0Bcs0MA,4
Revival (Deluxe),2015-10-09,14,,0C8ZW7ezQVs4URX5aX7Kqx,Selena Gomez,229080,false,1BZG99C7Co1r6QUC3zaS59,Same Old Love,70,0.672,0.593,11,-4.01,0,0.0304,0.0223,0,0.214,0.438,98.02,audio_features,spotify:track:1BZG99C7Co1r6QUC3zaS59,https://api.spotify.com/v1/tracks/1BZG99C7Co1r6QUC3zaS59,https://api.spotify.com/v1/audio-analysis/1BZG99C7Co1r6QUC3zaS59,4
Something Just Like This,2017-02-22,1,,69GGBxA162lTqCwzJG5jLp,The Chainsmokers,247627,false,1dNIEtp7AY3oDAKCGg2XkH,Something Just Like This,79,0.607,0.649,11,-6.695,0,0.0362,0.0306,0.0000246,0.174,0.505,102.996,audio_features,spotify:track:1dNIEtp7AY3oDAKCGg2XkH,https://api.spotify.com/v1/tracks/1dNIEtp7AY3oDAKCGg2XkH,https://api.spotify.com/v1/audio-analysis/1dNIEtp7AY3oDAKCGg2XkH,4
,,,,4gzpq5DPGxSnKTe4SA8HAU,Coldplay,,,,,,,,,,,,,,,,,,,,,
Rocky IV,1985,11,,26bcq2nyj5GB7uRr558iQg,Survivor,245640,false,2KH16WveTQWT6KOG9Rg6e2,Eye of the Tiger,81,0.817,0.599,0,-9.249,0,0.0328,0.132,0.000311,0.0873,0.548,108.873,audio_features,spotify:track:2KH16WveTQWT6KOG9Rg6e2,https://api.spotify.com/v1/tracks/2KH16WveTQWT6KOG9Rg6e2,https://api.spotify.com/v1/audio-analysis/2KH16WveTQWT6KOG9Rg6e2,4
Vanilla Ice Is Back! - Hip Hop Classics,2008-11-04,13,,7GXXMm3DB1VswVcuGyInUd,Vanilla Ice,254467,false,3XVozq1aeqsJwpXrEZrDJ9,Ice Ice Baby,75,0.979,0.792,2,-2.784,1,0.0388,0.0025,0.00000771,0.102,0.583,116.012,audio_features,spotify:track:3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/tracks/3XVozq1aeqsJwpXrEZrDJ9,https://api.spotify.com/v1/audio-analysis/3XVozq1aeqsJwpXrEZrDJ9,4
Got To Be There,1972-01-24,10,,3fMbdgg4jU18AjLCKBhRSm,Michael Jackson,154840,false,63gcHyuhAC8G2C0bVQUOJI,Rockin' Robin,56,0.622,0.721,10,-8.224,1,0.0983,0.24,0.0000788,0.271,0.968,173.395,audio_features,spotify:track:63gcHyuhAC8G2C0bVQUOJI,https://api.spotify.com/v1/tracks/63gcHyuhAC8G2C0bVQUOJI,https://api.spotify.com/v1/audio-analysis/63gcHyuhAC8G2C0bVQUOJI,4
Evolve,2017-06-23,11,,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,187147,false,0tKcYR2II1VCQWT79i5NrW,Thunder,2,0.6,0.81,0,-4.749,1,0.0479,0.00683,0.21,0.155,0.298,167.88,audio_features,spotify:track:0tKcYR2II1VCQWT79i5NrW,https://api.spotify.com/v1/tracks/0tKcYR2II1VCQWT79i5NrW,https://api.spotify.com/v1/audio-analysis/0tKcYR2II1VCQWT79i5NrW,4
Slippery When Wet,1986-01-01,10,,58lV9VcRSjABbAbfWS6skp,Bon Jovi,249293,false,0J6mQxEZnlRt9ymzFntA6z,Livin' On A Prayer,0,0.534,0.887,0,-3.777,1,0.0345,0.0768,0.0000993,0.325,0.72,122.494,audio_features,spotify:track:0J6mQxEZnlRt9ymzFntA6z,https://api.spotify.com/v1/tracks/0J6mQxEZnlRt9ymzFntA6z,https://api.spotify.com/v1/audio-analysis/0J6mQxEZnlRt9ymzFntA6z,4
The Outsiders,2014-01-01,12,,2IvkS5MXK0vPGnwyJsrEyV,Eric Church,252493,false,3MykNWa65IP2VN1Qa6B9yK,Give Me Back My Hometown,61,0.621,0.676,1,-7.808,1,0.0303,0.506,0.0675,0.0825,0.482,104.008,audio_features,spotify:track:3MykNWa65IP2VN1Qa6B9yK,https://api.spotify.com/v1/tracks/3MykNWa65IP2VN1Qa6B9yK,https://api.spotify.com/v1/audio-analysis/3MykNWa65IP2VN1Qa6B9yK,4
Location,2017-10-31,1,,6LuN9FCkKOj5PcnpouEgny,Khalid,217566,false,1WIfWj5skn5UUZTs4cEFBe,Location,59,0.799,0.436,1,-9.975,0,0.379,0.283,0.000105,0.0968,0.311,80.028,audio_features,spotify:track:1WIfWj5skn5UUZTs4cEFBe,https://api.spotify.com/v1/tracks/1WIfWj5skn5UUZTs4cEFBe,https://api.spotify.com/v1/audio-analysis/1WIfWj5skn5UUZTs4cEFBe,4
"Hallelujah (From ""Sing"" Original Motion Picture Soundtrack)",2016-12-02,1,,1vSN1fsvrzpbttOYGsliDr,Tori Kelly,207987,false,3wWinz94TSPWe6CgTaSK6x,Hallelujah,58,0.229,0.239,1,-9.146,0,0.0307,0.791,0,0.117,0.202,94.69,audio_features,spotify:track:3wWinz94TSPWe6CgTaSK6x,https://api.spotify.com/v1/tracks/3wWinz94TSPWe6CgTaSK6x,https://api.spotify.com/v1/audio-analysis/3wWinz94TSPWe6CgTaSK6x,3
Small Town Boy,2017-02-17,1,,1dID9zgn0OV0Y8ud7Mh2tS,Dustin Lynch,206573,false,045SnNDjOfOLKM5OxARH4g,Small Town Boy,0,0.553,0.747,9,-5.905,1,0.0292,0.0244,0,0.363,0.711,73.033,audio_features,spotify:track:045SnNDjOfOLKM5OxARH4g,https://api.spotify.com/v1/tracks/045SnNDjOfOLKM5OxARH4g,https://api.spotify.com/v1/audio-analysis/045SnNDjOfOLKM5OxARH4g,4
They Don't Know,2016-10-07,15,,3FfvYsEGaIb52QPXhg4DcH,Jason Aldean,195307,false,5zwKfokZAwe4kz68lEHtUf,They Don't Know,39,0.434,0.921,10,-2.248,0,0.0688,0.0207,0.00209,0.116,0.426,171.945,audio_features,spotify:track:5zwKfokZAwe4kz68lEHtUf,https://api.spotify.com/v1/tracks/5zwKfokZAwe4kz68lEHtUf,https://api.spotify.com/v1/audio-analysis/5zwKfokZAwe4kz68lEHtUf,4
Unforgettable,2017-07-28,1,,6x2LnllRG5uGarZMsD4iO8,Thomas Rhett,157080,false,0ZiRSqlSsDlY0UyDYU9CTE,Unforgettable,0,0.66,0.745,7,-5.499,1,0.0307,0.0294,0.0002,0.0831,0.828,130.074,audio_features,spotify:track:0ZiRSqlSsDlY0UyDYU9CTE,https://api.spotify.com/v1/tracks/0ZiRSqlSsDlY0UyDYU9CTE,https://api.spotify.com/v1/audio-analysis/0ZiRSqlSsDlY0UyDYU9CTE,4
Making Mirrors,2011-01-01,12,,2AsusXITU8P25dlRNhcAbG,Gotye,244885,false,1qDrWA6lyx8cLECdZE7TV7,Somebody That I Used To Know,83,0.865,0.521,0,-6.932,1,0.0371,0.548,0.000115,0.0989,0.748,129.059,audio_features,spotify:track:1qDrWA6lyx8cLECdZE7TV7,https://api.spotify.com/v1/tracks/1qDrWA6lyx8cLECdZE7TV7,https://api.spotify.com/v1/audio-analysis/1qDrWA6lyx8cLECdZE7TV7,4
,,,,6hk7Yq1DU9QcCCrz9uc0Ti,Kimbra,,,,,,,,,,,,,,,,,,,,,
All the Right Reasons (Special Edition),2005-09-26,14,,6deZN1bslXzeGvOLaLMOIF,Nickelback,258920,false,2wdEXKLcuU7B0M2gqFmABH,Photograph,55,0.515,0.876,8,-3.756,1,0.0292,0.000932,0.000166,0.136,0.385,145.916,audio_features,spotify:track:2wdEXKLcuU7B0M2gqFmABH,https://api.spotify.com/v1/tracks/2wdEXKLcuU7B0M2gqFmABH,https://api.spotify.com/v1/audio-analysis/2wdEXKLcuU7B0M2gqFmABH,4
Melo Ball 1 (feat. Kenneth Paige),2017-09-08,1,,2OUYh468x8oK04f2azuxGu,Zo,146492,false,3tejjBgqtJwVxFOnWGvN2p,Melo Ball 1 (feat. Kenneth Paige),39,0.755,0.513,1,-8.404,1,0.204,0.234,0.0000431,0.132,0.0581,77.029,audio_features,spotify:track:3tejjBgqtJwVxFOnWGvN2p,https://api.spotify.com/v1/tracks/3tejjBgqtJwVxFOnWGvN2p,https://api.spotify.com/v1/audio-analysis/3tejjBgqtJwVxFOnWGvN2p,4
,,,,6nu1nWf6YmvybE7FapCy1l,Kenneth Paige,,,,,,,,,,,,,,,,,,,,,
Platinum Hits,2016-07-29,12,,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,222613,false,0RrXKawUUB2YNNEz4LrpUu,Whatcha Say - 2016 Platinum Hits Edition,38,0.605,0.771,11,-4.114,1,0.0885,0.0492,0,0.137,0.66,143.976,audio_features,spotify:track:0RrXKawUUB2YNNEz4LrpUu,https://api.spotify.com/v1/tracks/0RrXKawUUB2YNNEz4LrpUu,https://api.spotify.com/v1/audio-analysis/0RrXKawUUB2YNNEz4LrpUu,4
Platinum Hits,2016-07-29,12,,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,225027,false,0W2PZ87SWSXknHUt4T6JhT,Marry Me,32,0.568,0.631,7,-5.623,1,0.0273,0.033,0,0.144,0.23,105.096,audio_features,spotify:track:0W2PZ87SWSXknHUt4T6JhT,https://api.spotify.com/v1/tracks/0W2PZ87SWSXknHUt4T6JhT,https://api.spotify.com/v1/audio-analysis/0W2PZ87SWSXknHUt4T6JhT,4
Tea for the Tillerman,1970-11-23,22,,08F3Y3SctIlsOEmKd6dnH8,Yusuf / Cat Stevens,221000,false,19slC7k8bsPOAKDjHYLU2W,Father And Son,6,0.499,0.33,7,-11.467,1,0.0348,0.589,0.0000421,0.102,0.395,135.993,audio_features,spotify:track:19slC7k8bsPOAKDjHYLU2W,https://api.spotify.com/v1/tracks/19slC7k8bsPOAKDjHYLU2W,https://api.spotify.com/v1/audio-analysis/19slC7k8bsPOAKDjHYLU2W,4
Bangerz (Deluxe Version),2013-10-04,16,,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,231240,false,2y4lAQpi5VTNLu2ldeTdUH,We Can't Stop,83,0.613,0.622,1,-5.794,0,0.0334,0.00882,0,0.37,0.484,80.003,audio_features,spotify:track:2y4lAQpi5VTNLu2ldeTdUH,https://api.spotify.com/v1/tracks/2y4lAQpi5VTNLu2ldeTdUH,https://api.spotify.com/v1/audio-analysis/2y4lAQpi5VTNLu2ldeTdUH,4
Just The Way You Are,2010-07-20,1,,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,220733,false,24lMtPOCzP5g4hrg3NklLa,Just The Way You Are,0,0.637,0.843,5,-5.413,1,0.0432,0.0151,0,0.0876,0.434,109.012,audio_features,spotify:track:24lMtPOCzP5g4hrg3NklLa,https://api.spotify.com/v1/tracks/24lMtPOCzP5g4hrg3NklLa,https://api.spotify.com/v1/audio-analysis/24lMtPOCzP5g4hrg3NklLa,4
Fearless,2008-11-11,16,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,230507,false,6mqdunuFFSODHKcpDTFvAj,You Belong With Me,0,0.688,0.775,6,-4.436,1,0.0381,0.151,0.0000198,0.104,0.469,129.969,audio_features,spotify:track:6mqdunuFFSODHKcpDTFvAj,https://api.spotify.com/v1/tracks/6mqdunuFFSODHKcpDTFvAj,https://api.spotify.com/v1/audio-analysis/6mqdunuFFSODHKcpDTFvAj,4
Coloring Book,2016-05-27,14,,1anyVhU62p31KFi8MEzkbf,Chance the Rapper,203794,false,3ZLyt2ndLFBh148XRYjYYZ,All We Got (feat. Kanye West & Chicago Children's Choir),64,0.531,0.544,0,-8.615,0,0.462,0.308,0.00000189,0.0835,0.398,131.921,audio_features,spotify:track:3ZLyt2ndLFBh148XRYjYYZ,https://api.spotify.com/v1/tracks/3ZLyt2ndLFBh148XRYjYYZ,https://api.spotify.com/v1/audio-analysis/3ZLyt2ndLFBh148XRYjYYZ,4
,,,,5K4W6rqBFWDnAN6FQUkS6x,Kanye West,,,,,,,,,,,,,,,,,,,,,
,,,,6e64nPdtxyICfh90RJukpg,Chicago Children's Choir,,,,,,,,,,,,,,,,,,,,,
The Rokstarr Hits Collection,2010-01-01,15,,6MF9fzBmfXghAz953czmBC,Taio Cruz,202613,false,2CEgGE6aESpnmtfiZwYlbV,Dynamite,85,0.751,0.783,4,-3.724,1,0.0859,0.00379,0,0.036,0.816,119.975,audio_features,spotify:track:2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,4
Jason Derulo (International),2010-02-26,10,,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,199027,false,6St9lR6dhV2tpCNVz7qfrS,In My Head,71,0.762,0.748,0,-4.15,0,0.033,0.0266,0,0.348,0.851,110.009,audio_features,spotify:track:6St9lR6dhV2tpCNVz7qfrS,https://api.spotify.com/v1/tracks/6St9lR6dhV2tpCNVz7qfrS,https://api.spotify.com/v1/audio-analysis/6St9lR6dhV2tpCNVz7qfrS,4
Greatest Hits,2005-10-21,16,,6Ff53KvcvAj5U7Z1vojB5o,*NSYNC,199640,false,2yiZyjMEByt9sJBZWnWaDR,Bye Bye Bye,58,0.571,0.87,8,-3.877,0,0.0641,0.0198,0.0000066,0.0564,0.813,172.716,audio_features,spotify:track:2yiZyjMEByt9sJBZWnWaDR,https://api.spotify.com/v1/tracks/2yiZyjMEByt9sJBZWnWaDR,https://api.spotify.com/v1/audio-analysis/2yiZyjMEByt9sJBZWnWaDR,4
Welcome Interstate Managers,2003-01-01,17,,1pgtr4nhBQjp9oCUBPyYWh,Fountains Of Wayne,197987,false,27L8sESb3KR79asDUBu8nW,Stacy's Mom,79,0.774,0.75,11,-4.927,0,0.0412,0.00207,0.0000178,0.0808,0.927,118.015,audio_features,spotify:track:27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/tracks/27L8sESb3KR79asDUBu8nW,https://api.spotify.com/v1/audio-analysis/27L8sESb3KR79asDUBu8nW,4
Too Good At Goodbyes,2017-09-08,1,,2wY79sveU1sp5g7SokKOiI,Sam Smith,201000,false,0mel2N9Ws9r4yLQn5QE21Y,Too Good At Goodbyes - Edit,0,0.653,0.378,5,-8.273,1,0.0533,0.658,0,0.177,0.54,91.835,audio_features,spotify:track:0mel2N9Ws9r4yLQn5QE21Y,https://api.spotify.com/v1/tracks/0mel2N9Ws9r4yLQn5QE21Y,https://api.spotify.com/v1/audio-analysis/0mel2N9Ws9r4yLQn5QE21Y,4
If I'm Lucky,2017-08-31,1,,07YZf4WDAMNwqr4jfgOZ8y,Jason Derulo,212014,false,6eUncuJutsFi9BGO1JaBHh,If I'm Lucky,60,0.897,0.634,4,-6.264,0,0.161,0.00413,0,0.0686,0.506,112.048,audio_features,spotify:track:6eUncuJutsFi9BGO1JaBHh,https://api.spotify.com/v1/tracks/6eUncuJutsFi9BGO1JaBHh,https://api.spotify.com/v1/audio-analysis/6eUncuJutsFi9BGO1JaBHh,4
Kept by His Grace,2017-03-24,2,,2AMh8lgEJxWZcRahvJZihs,Troy Sneed,270893,false,2X45QWB3bBO5rwM8E7d1WB,Kept by His Grace,25,0.675,0.676,7,-3.13,0,0.177,0.23,0,0.108,0.832,76.097,audio_features,spotify:track:2X45QWB3bBO5rwM8E7d1WB,https://api.spotify.com/v1/tracks/2X45QWB3bBO5rwM8E7d1WB,https://api.spotify.com/v1/audio-analysis/2X45QWB3bBO5rwM8E7d1WB,4
x (Wembley Edition),2013,24,,6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,281560,false,1Slwb6dOYkBlWal1PGtnNg,Thinking out Loud,69,0.781,0.445,2,-6.061,1,0.0295,0.474,0,0.184,0.591,78.998,audio_features,spotify:track:1Slwb6dOYkBlWal1PGtnNg,https://api.spotify.com/v1/tracks/1Slwb6dOYkBlWal1PGtnNg,https://api.spotify.com/v1/audio-analysis/1Slwb6dOYkBlWal1PGtnNg,4
The Hunger Games: Songs From District 12 And Beyond,2012-01-01,16,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,240067,false,0z9UVN8VBHJ9HdfYsOuuNf,Safe & Sound - from The Hunger Games Soundtrack,69,0.471,0.3,7,-10.807,1,0.028,0.883,0.0000105,0.0698,0.289,144.319,audio_features,spotify:track:0z9UVN8VBHJ9HdfYsOuuNf,https://api.spotify.com/v1/tracks/0z9UVN8VBHJ9HdfYsOuuNf,https://api.spotify.com/v1/audio-analysis/0z9UVN8VBHJ9HdfYsOuuNf,4
,,,,6J7rw7NELJUCThPbAfyLIE,The Civil Wars,,,,,,,,,,,,,,,,,,,,,
I Don’t Wanna Live Forever (Fifty Shades Darker),2016-12-09,1,,5ZsFI1h6hIdQRw2ti0hz81,ZAYN,245200,false,3NdDpSvN911VPGivFlV5d0,"I Don’t Wanna Live Forever (Fifty Shades Darker) - From ""Fifty Shades Darker (Original Motion Picture Soundtrack)""",1,0.735,0.451,0,-8.374,1,0.0585,0.0631,0.000013,0.325,0.0862,117.973,audio_features,spotify:track:3NdDpSvN911VPGivFlV5d0,https://api.spotify.com/v1/tracks/3NdDpSvN911VPGivFlV5d0,https://api.spotify.com/v1/audio-analysis/3NdDpSvN911VPGivFlV5d0,4
,,,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,,,,,,,,,,,,,,,,,,,,,
Epiphany,2007-06-05,17,,3aQeKQSyrW4qWr35idm0cy,T-Pain,227960,false,2aIdVb8v9KTpEZnftkz2mD,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),4,0.451,0.55,1,-8.137,1,0.262,0.0108,0,0.0737,0.594,80.001,audio_features,spotify:track:2aIdVb8v9KTpEZnftkz2mD,https://api.spotify.com/v1/tracks/2aIdVb8v9KTpEZnftkz2mD,https://api.spotify.com/v1/audio-analysis/2aIdVb8v9KTpEZnftkz2mD,4
,,,,23LbwefIODbyGdRbAz3urj,Yung Joc,,,,,,,,,,,,,,,,,,,,,
Walk On Water,2017-08-22,1,,0RqtSIYZmd4fiBKVFqyIqD,Thirty Seconds To Mars,188228,false,5UMD1Iz7yyVK8Q5FLsVt3q,Walk On Water,0,0.492,0.761,8,-7.041,1,0.0363,0.000119,0,0.0934,0.395,139.98,audio_features,spotify:track:5UMD1Iz7yyVK8Q5FLsVt3q,https://api.spotify.com/v1/tracks/5UMD1Iz7yyVK8Q5FLsVt3q,https://api.spotify.com/v1/audio-analysis/5UMD1Iz7yyVK8Q5FLsVt3q,4
Hozier,2014-10-07,13,,2FXC3k01G6Gw61bmprjgqS,Hozier,241693,false,0aOluBqXYd0rFSCsgDyAWX,Take Me to Church,67,0.575,0.664,4,-5.303,0,0.0481,0.637,0,0.116,0.437,129.07,audio_features,spotify:track:0aOluBqXYd0rFSCsgDyAWX,https://api.spotify.com/v1/tracks/0aOluBqXYd0rFSCsgDyAWX,https://api.spotify.com/v1/audio-analysis/0aOluBqXYd0rFSCsgDyAWX,4
All The Way Turnt Up,2010-01-01,1,,0bfX8pF8kuHNCs57Ms4jZb,Roscoe Dash,295320,false,1fHNx9MymVjrxGUbq8eh46,All The Way Turnt Up,47,0.515,0.971,11,-1.976,0,0.0865,0.000798,0,0.273,0.693,132.025,audio_features,spotify:track:1fHNx9MymVjrxGUbq8eh46,https://api.spotify.com/v1/tracks/1fHNx9MymVjrxGUbq8eh46,https://api.spotify.com/v1/audio-analysis/1fHNx9MymVjrxGUbq8eh46,4
,,,,6GMYJwaziB4ekv1Y6wCDWS,Soulja Boy,,,,,,,,,,,,,,,,,,,,,
