name,release_date,total_tracks,artists,id,name,duration_ms,explicit,id,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,time_signature
1989,2014-10-27,13,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,211933,false,273dCMFseLcVsoSWx59IoE,Bad Blood,71,0.65,0.802,7,-6.114,1,0.181,0.0871,0.00000654,0.148,0.295,170.146,audio_features,spotify:track:273dCMFseLcVsoSWx59IoE,https://api.spotify.com/v1/tracks/273dCMFseLcVsoSWx59IoE,https://api.spotify.com/v1/audio-analysis/273dCMFseLcVsoSWx59IoE,4
#3,2012-09-10,10,,3AQRLZ9PuTAozP28Skbq8V,The Script,202533,false,1X1DWw2pcNZ8zSub3uhlNz,Hall of Fame (feat. will.i.am),73,0.421,0.873,10,-4.343,1,0.0564,0.0654,0,0.123,0.629,84.786,audio_features,spotify:track:1X1DWw2pcNZ8zSub3uhlNz,https://api.spotify.com/v1/tracks/1X1DWw2pcNZ8zSub3uhlNz,https://api.spotify.com/v1/audio-analysis/1X1DWw2pcNZ8zSub3uhlNz,4
,,,,085pc2PYOi8bGKj0PNjekA,will.i.am,,,,,,,,,,,,,,,,,,,,,
Overexposed,2021-06-20,12,,04gDigrS5kc9YWfZHwBETP,Maroon 5,231387,true,1LmN9SSHISbtp9LoaR5ZVJ,Payphone,79,0.739,0.756,4,-4.828,1,0.0394,0.0136,0,0.37,0.523,110.028,audio_features,spotify:track:1LmN9SSHISbtp9LoaR5ZVJ,https://api.spotify.com/v1/tracks/1LmN9SSHISbtp9LoaR5ZVJ,https://api.spotify.com/v1/audio-analysis/1LmN9SSHISbtp9LoaR5ZVJ,4
,,,,137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,,,,,,,,,,,,,,,,,,,,,
V,2014-09-02,12,,04gDigrS5kc9YWfZHwBETP,Maroon 5,235493,true,2iuZJX9X9P0GKaE93xcPjk,Sugar,85,0.748,0.788,1,-7.055,1,0.0334,0.0591,0,0.0863,0.884,120.076,audio_features,spotify:track:2iuZJX9X9P0GKaE93xcPjk,https://api.spotify.com/v1/tracks/2iuZJX9X9P0GKaE93xcPjk,https://api.spotify.com/v1/audio-analysis/2iuZJX9X9P0GKaE93xcPjk,4
The Incredible Machine,2010-01-01,11,,0hYxQe3AK5jBPCr5MumLHD,Sugarland,247587,false,0JcKdUGNR7zI4jJDLyYXbi,Stuck Like Glue,72,0.702,0.795,1,-4.764,1,0.0568,0.329,0,0.0505,0.836,83.961,audio_features,spotify:track:0JcKdUGNR7zI4jJDLyYXbi,https://api.spotify.com/v1/tracks/0JcKdUGNR7zI4jJDLyYXbi,https://api.spotify.com/v1/audio-analysis/0JcKdUGNR7zI4jJDLyYXbi,4
24K Magic,2016-11-17,9,,0du5cEVh5yTK9QJze8zA0C,Bruno Mars,206693,false,0KKkJNfGyhkQ5aFogxQAPU,That's What I Like,87,0.853,0.56,1,-4.961,1,0.0406,0.013,0,0.0944,0.86,134.066,audio_features,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,4
FOUR (Deluxe),2014-11-17,16,,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,228133,false,2Bs4jQEGMycglOfWPBqrVG,Steal My Girl,84,0.536,0.768,10,-5.948,0,0.0347,0.00433,0,0.114,0.545,77.217,audio_features,spotify:track:2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/tracks/2Bs4jQEGMycglOfWPBqrVG,https://api.spotify.com/v1/audio-analysis/2Bs4jQEGMycglOfWPBqrVG,4
I'm the One,2017-04-27,1,,0QHgL1lAIqAw0HtD7YldmP,DJ Khaled,288877,true,72Q0FQQo32KJloivv5xge2,I'm the One,0,0.599,0.667,7,-4.267,1,0.0367,0.0533,0,0.134,0.817,80.984,audio_features,spotify:track:72Q0FQQo32KJloivv5xge2,https://api.spotify.com/v1/tracks/72Q0FQQo32KJloivv5xge2,https://api.spotify.com/v1/audio-analysis/72Q0FQQo32KJloivv5xge2,4
,,,,1uNFoZAHBGtllmzznpCI3s,Justin Bieber,,,,,,,,,,,,,,,,,,,,,
,,,,0VRj0yCOv2FXJNP47XQnx5,Quavo,,,,,,,,,,,,,,,,,,,,,
,,,,1anyVhU62p31KFi8MEzkbf,Chance the Rapper,,,,,,,,,,,,,,,,,,,,,
,,,,55Aa2cqylxrFIXC767Z865,Lil Wayne,,,,,,,,,,,,,,,,,,,,,
1989,2014-10-27,13,,06HL4z0CvFAxyc27GXpf02,Taylor Swift,220440,false,59HjlYCeBsxdI0fcm3zglw,Wildest Dreams,76,0.554,0.666,8,-7.414,1,0.0747,0.0702,0.00593,0.106,0.472,140.056,audio_features,spotify:track:59HjlYCeBsxdI0fcm3zglw,https://api.spotify.com/v1/tracks/59HjlYCeBsxdI0fcm3zglw,https://api.spotify.com/v1/audio-analysis/59HjlYCeBsxdI0fcm3zglw,4
